"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVB.kpTeopleWhoInjectDrugs","HIVB.kpTeopleWhoInjectDrugs","","","",1,1,"","","","string {[]} {[]}
","People who inject drugs","Client is a person who injects drugs","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE54
",,,,"HIVB.kpTeopleWhoInjectDrugs",1,1,"",""
"HIVB.kpPeopleLivingInPrisonsAndOtherClosedSettings","HIVB.kpPeopleLivingInPrisonsAndOtherClosedSettings","","","",1,1,"","","","string {[]} {[]}
","People living in prisons and other closed settings","Client lives in a prison or another closed setting","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE55
",,,,"HIVB.kpPeopleLivingInPrisonsAndOtherClosedSettings",1,1,"",""
"HIVB.kpAdolescentGirl","HIVB.kpAdolescentGirl","","","",1,1,"","","","string {[]} {[]}
","Adolescent girl","Calculated field based on age and gender, if client is 10 years or older and under 20 years old","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE56
",,,,"HIVB.kpAdolescentGirl",1,1,"",""
"HIVB.kpYoungWoman","HIVB.kpYoungWoman","","","",1,1,"","","","string {[]} {[]}
","Young woman","Calculated field based on age and gender, if client is 20 years or older and under 25 years old","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE57
",,,,"HIVB.kpYoungWoman",1,1,"",""
"HIVB.kpOrphanOrVulnerableChild","HIVB.kpOrphanOrVulnerableChild","","","",1,1,"","","","string {[]} {[]}
","Orphan or vulnerable child","Client considered an orphan or vulnerable child","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE58
",,,,"HIVB.kpOrphanOrVulnerableChild",1,1,"",""
"HIVB.informedOfHivTestResult","HIVB.informedOfHivTestResult","","","",1,1,"","","","string {[]} {[]}
","Informed of HIV test result","Client has been informed of their HIV test result","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE59
",,,,"HIVB.informedOfHivTestResult",1,1,"",""
"HIVB.dateHivTestResultsReturned","HIVB.dateHivTestResultsReturned","","","",1,1,"","","","string {[]} {[]}
","Date HIV test results returned","Date HIV test result returned to client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE60
",,,,"HIVB.dateHivTestResultsReturned",1,1,"",""
"HIVB.hivExposureType","HIVB.hivExposureType","","","",1,1,"","","","string {[]} {[]}
","HIV exposure type*","Ways in which the client was exposed to HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE61
",,,,"HIVB.hivExposureType",1,1,"",""
"HIVB.occupational","HIVB.occupational","","","",1,1,"","","","string {[]} {[]}
","Occupational","Occupational exposure to HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE62
",,,,"HIVB.occupational",1,1,"",""
"HIVB.nonOccupationalViolent","HIVB.nonOccupationalViolent","","","",1,1,"","","","string {[]} {[]}
","Non-occupational violent","Non-occupational violent exposure to HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE63
",,,,"HIVB.nonOccupationalViolent",1,1,"",""
